ACCT - Accounting;;;;;;;;;;;;;;;
CRN;Subj;Crse;Sec;Cmp;Cred;Title;Days;Time;Cap;Act;Rem;Instructor;Date (MM/DD);Location;Attribute
;;;;;;;;;;;;Click name to see CV;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lynn Rees (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lynn Rees (P);04/24-04/24;TBA;
23830;ACCT;327;505;CS;3;FINANCIAL REPORTING I (Syllabus);MW;02:20 pm-03:35 pm;44;62;-18;Lynn Rees (P);01/17-05/08;WCBA 111;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lynn Rees (P);02/13-02/13;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lynn Rees (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Lynn Rees (P);04/24-04/24;TBA;
23831;ACCT;327;506;CS;3;FINANCIAL REPORTING I (Syllabus);TR;12:45 pm-02:00 pm;0;30;-30;Ana Lucia Kolasinski (P);01/17-05/08;WCBA 182;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ana Lucia Kolasinski (P);02/13-02/13;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ana Lucia Kolasinski (P);03/27-03/27;TBA;
;;;;;;;T;07:15 pm-09:00 pm;;;;Ana Lucia Kolasinski (P);04/24-04/24;TBA;
10019;ACCT;328;501;CS;3;FINANCIAL REPORTING II (Syllabus);TR;12:45 pm-02:00 pm;38;41;-3;Sarah C. Rice (P);01/17-05/08;WCBA 161;
;;;;;;(Restrictions/Details);;;;;;;;;
10020;ACCT;328;502;CS;3;FINANCIAL REPORTING II (Syllabus);TR;02:20 pm-03:35 pm;38;41;-3;Sarah C. Rice (P);01/17-05/08;WCBA 161;
;;;;;;(Restrictions/Details);;;;;;;;;
18710;ACCT;328;503;CS;3;FINANCIAL REPORTING II (Syllabus);TR;03:55 pm-05:10 pm;38;40;-2;Sarah C. Rice (P);01/17-05/08;WCBA 161;
;;;;;;(Restrictions/Details);;;;;;;;;
26523;ACCT;328;504;CS;3;FINANCIAL REPORTING II (Syllabus);TR;08:00 am-09:15 am;38;38;0;Steven Grossman (P);01/17-05/08;WCBA 104;
;;;;;;(Restrictions/Details);;;;;;;;;
26524;ACCT;328;505;CS;3;FINANCIAL REPORTING II (Syllabus);TR;09:35 am-10:50 am;38;41;-3;Steven Grossman (P);01/17-05/08;WCBA 104;
;;;;;;(Restrictions/Details);;;;;;;;;
26525;ACCT;328;506;CS;3;FINANCIAL REPORTING II (Syllabus);TR;11:10 am-12:25 pm;38;39;-1;Steven Grossman (P);01/17-05/08;WCBA 104;
;;;;;;(Restrictions/Details);;;;;;;;;
27388;ACCT;328;510;CS;3;FINANCIAL REPORTING II (Syllabus);TR;11:10 am-12:25 pm;0;30;-30;Ana Lucia Kolasinski (P);01/17-05/08;WCBA 182;
;;;;;;(Restrictions/Details);;;;;;;;;
15758;ACCT;329;501;CS;3;COST MGMT & ANALYSIS (Syllabus);T;12:45 pm-02:00 pm;160;99;61;Karen C. Farmer (P);01/17-05/08;WCBA 114;NonTraditional Format Approved
;;;;;;(Restrictions/Details);;;;;;;;;
10021;ACCT;405;501;CS;3;INCOME TAX (Syllabus);TR;09:35 am-10:50 am;28;37;-9;Sean T. McGuire (P);01/17-05/08;WCBA 462;
;;;;;;(Restrictions/Details);;;;;;;;;
;;;;;;;T;07:15 pm-09:00 pm;;;;Sean T. McGuire (P);03/06-03/06;TBA;
